libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
Temperature depart eau chaude grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde départ;grande salle;à relire;générique déduit — à confirmer
Temperature depart eau chaude petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde départ;petite salle;à relire;générique déduit — à confirmer
Température Entrée / Bibliothèque;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Sonde ambiance Ss Fil;Entrée / Bibliothèque;sûr;relecture : point COM = sonde sans fil
Température extérieure;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Sonde extérieure Ss Fil;;sûr;relecture : point COM = sonde sans fil
Temperature grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;grande salle;sûr;relecture : point COM = sonde sans fil
Température Grande Salle 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Grande Salle 1;sûr;relecture : point COM = sonde sans fil
Température Grande Salle 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Grande Salle 2;sûr;relecture : point COM = sonde sans fil
Temperature hall d'entree;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;hall d'entree;sûr;relecture : point COM = sonde sans fil
Temperature petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;petite salle;sûr;relecture : point COM = sonde sans fil
Température Repos 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Repos 1;sûr;relecture : point COM = sonde sans fil
Température Repos 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Repos 2;sûr;relecture : point COM = sonde sans fil
Temperature retour eau chaude CTA;documents;1;COM;Salle des fêtes — Berthecourt;RENOMMER;Sonde retour CTA;;sûr;synonyme ou regroupement du vocabulaire
Temperature retour eau chaude grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde retour;grande salle;à relire;générique déduit — à confirmer
Temperature retour eau chaude petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde retour;petite salle;à relire;générique déduit — à confirmer
Température Salle Communale 1;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance Ss Fil;Salle Communale 1;sûr;relecture : point COM = sonde sans fil
Température Salle Communale 2;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance Ss Fil;Salle Communale 2;sûr;relecture : point COM = sonde sans fil
Température Sanitaire 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Sanitaire 1;sûr;relecture : point COM = sonde sans fil
Température Sanitaire 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Sanitaire 2;sûr;relecture : point COM = sonde sans fil
Temperature sanitaires femmes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;sanitaires femmes;sûr;relecture : point COM = sonde sans fil
Temperature sanitaires handicapes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;sanitaires handicapes;sûr;relecture : point COM = sonde sans fil
Temperature sanitaires hommes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance Ss Fil;sanitaires hommes;sûr;relecture : point COM = sonde sans fil
Température Tisanerie;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance Ss Fil;Tisanerie;sûr;relecture : point COM = sonde sans fil
Température Zone sanitaire;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance Ss Fil;Zone sanitaire;sûr;relecture : point COM = sonde sans fil
test;documents;1;;(sans titre);GARDER;test;;à relire;aucun local repéré — vocabulaire à valider
Tp depart CHD;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ chaudiere;;sûr;synonyme ou regroupement du vocabulaire
Tp depart CR1;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ CR1;;sûr;synonyme ou regroupement du vocabulaire
Tp depart CR2;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ CR2;;sûr;synonyme ou regroupement du vocabulaire
Tp depart Primaire ECS;documents;1;AI;ECY600_UEHC_BETHUNE;SCINDER;Sonde départ;Primaire ECS;sûr;générique connu du catalogue
Tp exterieur;documents;1;AI;ECY600_UEHC_BETHUNE;GARDER;Tp exterieur;;à relire;aucun local repéré — vocabulaire à valider
Vanne chauffage Y1 (ouverture);documents;1;DO;Salle des fêtes — Berthecourt;RENOMMER;Pilotage Vanne chauffage Y1 (ouverture);;à relire;relecture : renommage demandé
Vanne chauffage Y2 (fermeture);documents;1;DO;Salle des fêtes — Berthecourt;RENOMMER;Pilotage Vanne chauffage Y2 (fermeture);;à relire;relecture : renommage demandé
Vanne depart chauffage petite salle;documents;1;AO;Salle des fêtes — Berthecourt;SCINDER;Pilotage V3V CR1;petite salle;à relire;générique déduit — à confirmer
Vanne depart eau chaude CTA;documents;1;AO;Salle des fêtes — Berthecourt;RENOMMER;Pilotage V3V CTA;CTA;à relire;relecture : renommage demandé
Chauffage ancien bureau;catalogue;0;DO;;SCINDER;Commande Chauffage;ancien bureau;sûr;regroupement arbitré
Chauffage ancienne salle a manger;catalogue;0;DO;;SCINDER;Commande Chauffage;ancienne salle a manger;sûr;regroupement arbitré
Chauffage cuisine;catalogue;0;DO;;SCINDER;Commande Chauffage;cuisine;sûr;regroupement arbitré
Chauffage garcons;catalogue;0;DO;;SCINDER;Commande Chauffage;garcons;sûr;regroupement arbitré
Chauffage infirmerie + douche;catalogue;0;DO;;SCINDER;Commande Chauffage;infirmerie + douche;sûr;regroupement arbitré
Chauffage laverie;catalogue;0;DO;;SCINDER;Commande Chauffage;laverie;sûr;regroupement arbitré
Chauffage nouvelle salle a manger;catalogue;0;DO;;SCINDER;Commande Chauffage;nouvelle salle a manger;sûr;regroupement arbitré
Chauffage reserve;catalogue;0;DO;;SCINDER;Commande Chauffage;reserve;sûr;regroupement arbitré
Chauffage sanitaire personnel;catalogue;0;DO;;SCINDER;Commande Chauffage;sanitaire personnel;sûr;regroupement arbitré
Chauffage SAS + Hall;catalogue;0;DO;;SCINDER;Commande Chauffage;SAS + Hall;sûr;regroupement arbitré
